CGPA,Chance of Admit 
9.65,0.92
8.87,0.76
8,0.72
8.67,0.8
8.21,0.65
9.34,0.9
8.2,0.75
7.9,0.68
8,0.5
8.6,0.45
8.4,0.52
9,0.84
9.1,0.78
8,0.62
8.2,0.61
8.3,0.54
8.7,0.66
8,0.65
8.8,0.63
8.5,0.62
7.9,0.64
8.4,0.7
9.5,0.94
9.7,0.95
9.8,0.97
9.6,0.94
8.8,0.76
7.5,0.44
7.2,0.46
7.3,0.54
8.1,0.65
8.3,0.74
9.4,0.91
9.6,0.9
9.8,0.94
9.2,0.88
8.4,0.64
7.8,0.58
7.5,0.52
7.7,0.48
8,0.46
8.2,0.49
8.5,0.53
9.1,0.87
9.4,0.91
9.1,0.88
9.3,0.86
9.7,0.89
8.85,0.82
8.4,0.78
8.3,0.76
7.9,0.56
8,0.78
8.1,0.72
8,0.7
7.7,0.64
7.4,0.64
7.6,0.46
6.8,0.36
8.3,0.42
8.1,0.48
8.2,0.47
8.2,0.54
8.5,0.56
8.7,0.52
8.92,0.55
9.02,0.61
8.64,0.57
9.22,0.68
9.16,0.78
9.64,0.94
9.76,0.96
9.45,0.93
9.04,0.84
8.9,0.74
8.56,0.72
8.72,0.74
8.22,0.64
7.54,0.44
7.36,0.46
8.02,0.5
9.5,0.96
9.22,0.92
9.36,0.92
9.45,0.94
8.66,0.76
8.42,0.72
8.28,0.66
8.14,0.64
8.76,0.74
7.92,0.64
7.66,0.38
8.03,0.34
7.88,0.44
7.66,0.36
7.84,0.42
8,0.48
8.96,0.86
9.24,0.9
8.88,0.79
8.46,0.71
8.12,0.64
8.25,0.62
8.47,0.57
9.05,0.74
8.78,0.69
9.18,0.87
9.46,0.91
9.38,0.93
8.64,0.68
8.48,0.61
8.68,0.69
8.34,0.62
8.56,0.72
8.45,0.59
9.04,0.66
8.62,0.56
7.46,0.45
7.28,0.47
8.84,0.71
9.56,0.94
9.48,0.94
8.36,0.57
8.22,0.61
8.47,0.57
8.66,0.64
9.32,0.85
8.71,0.78
9.1,0.84
9.35,0.92
9.76,0.96
8.65,0.77
8.56,0.71
8.78,0.79
9.28,0.89
8.77,0.82
8.45,0.76
8.16,0.71
9.08,0.8
9.12,0.78
9.15,0.84
9.36,0.9
9.44,0.92
9.92,0.97
8.96,0.8
8.64,0.81
8.48,0.75
9.11,0.83
9.8,0.96
8.26,0.79
9.43,0.93
9.28,0.94
9.06,0.86
8.75,0.79
8.89,0.8
8.69,0.77
8.34,0.7
8.26,0.65
8.14,0.61
7.9,0.52
7.86,0.57
7.46,0.53
8.5,0.67
8.56,0.68
9.01,0.81
8.97,0.78
8.33,0.65
8.27,0.64
7.8,0.64
7.98,0.65
8.04,0.68
9.07,0.89
9.13,0.86
9.23,0.89
8.97,0.87
8.87,0.85
9.16,0.9
9.04,0.82
8.12,0.72
8.27,0.73
8.16,0.71
8.42,0.71
7.88,0.68
8.8,0.75
8.32,0.72
9.11,0.89
8.68,0.84
9.44,0.93
9.36,0.93
9.08,0.88
9.16,0.9
8.98,0.87
8.94,0.86
9.53,0.94
8.76,0.77
8.52,0.78
8.26,0.73
8.33,0.73
8.43,0.7
8.69,0.72
8.54,0.73
8.46,0.72
9.91,0.97
9.87,0.97
8.54,0.69
7.65,0.57
7.89,0.63
8.02,0.66
8.16,0.64
8.12,0.68
9.06,0.79
9.14,0.82
9.66,0.95
9.78,0.96
9.42,0.94
9.36,0.93
9.26,0.91
9.13,0.85
8.97,0.84
8.42,0.74
8.75,0.76
8.56,0.75
8.79,0.76
8.45,0.71
8.23,0.67
8.03,0.61
8.45,0.63
8.53,0.64
8.67,0.71
9.01,0.82
8.65,0.73
8.33,0.74
8.27,0.69
8.07,0.64
9.31,0.91
9.23,0.88
9.17,0.85
9.19,0.86
8.37,0.7
7.89,0.59
7.68,0.6
8.15,0.65
8.76,0.7
9.04,0.76
8.56,0.63
9.02,0.81
8.73,0.72
8.48,0.71
8.87,0.8
8.83,0.77
8.57,0.74
9,0.7
8.54,0.71
9.68,0.93
9.12,0.85
8.37,0.79
8.56,0.76
8.64,0.78
8.76,0.77
9.34,0.9
9.13,0.87
8.09,0.71
8.36,0.7
8.79,0.7
8.76,0.75
8.68,0.71
8.45,0.72
8.17,0.73
9.14,0.83
8.34,0.77
8.22,0.72
7.86,0.54
7.64,0.49
8.01,0.52
7.95,0.58
8.96,0.78
9.45,0.89
8.62,0.7
8.49,0.66
8.73,0.67
8.64,0.68
9.11,0.8
8.79,0.81
8.9,0.8
9.66,0.94
9.26,0.93
9.19,0.92
9.08,0.89
9.02,0.82
9,0.79
7.65,0.58
7.87,0.56
7.97,0.56
8.18,0.64
8.32,0.61
8.57,0.68
8.67,0.76
9.11,0.86
9.24,0.9
8.65,0.71
8,0.62
8.76,0.66
8.45,0.65
8.55,0.73
8.43,0.62
8.8,0.74
9.1,0.79
9,0.8
8.53,0.69
8.6,0.7
8.74,0.76
9.18,0.84
9,0.78
8.04,0.67
8.13,0.66
8.07,0.65
7.86,0.54
8.01,0.58
8.8,0.79
8.69,0.8
8.5,0.75
8.44,0.73
8.27,0.72
8.18,0.62
8.33,0.67
9.14,0.81
8.02,0.63
7.86,0.69
8.77,0.8
7.89,0.43
8.66,0.8
8.12,0.73
8.21,0.75
8.54,0.71
8.65,0.73
9.11,0.83
8.79,0.72
9.47,0.94
8.74,0.81
8.66,0.81
8.46,0.75
8.76,0.79
8.24,0.58
8.13,0.59
7.34,0.47
7.43,0.49
7.64,0.47
7.34,0.42
7.25,0.57
8.04,0.62
8.27,0.74
8.67,0.73
8.06,0.64
8.17,0.63
7.67,0.59
8.12,0.73
8.77,0.79
7.89,0.68
7.64,0.7
8.44,0.81
8.64,0.85
9.54,0.93
9.23,0.91
8.36,0.69
8.9,0.77
9.17,0.86
8.34,0.74
7.46,0.57
7.88,0.51
8.03,0.67
8.24,0.72
9.22,0.89
9.62,0.95
8.54,0.79
7.65,0.39
7.66,0.38
7.43,0.34
7.56,0.47
7.65,0.56
8.43,0.71
8.84,0.78
8.67,0.73
9.15,0.82
8.26,0.62
9.74,0.96
9.82,0.96
7.96,0.46
8.1,0.53
7.8,0.49
8.44,0.76
8.24,0.64
8.65,0.71
9.12,0.84
8.76,0.77
9.23,0.89
9.04,0.82
9.11,0.84
9.45,0.91
8.78,0.67
9.66,0.95
